collect,germ_obs,estuary,disturbance,replicate,id,species,count
7/15/2021,2/25/2022,ere,grubbed,1,100,isce,40
7/15/2021,2/25/2022,ere,grubbed,1,100,spca,16
7/15/2021,2/25/2022,ere,grubbed,1,100,coco,1
7/15/2021,2/25/2022,ere,grubbed,1,100,sade,21
7/15/2021,2/25/2022,ere,grubbed,1,100,glma,1
7/15/2021,2/25/2022,ere,grubbed,1,100,juba,1
7/15/2021,2/25/2022,ere,grubbed,2,101,isce,53
7/15/2021,2/25/2022,ere,grubbed,2,101,spca,13
7/15/2021,2/25/2022,ere,grubbed,2,101,sade,22
7/15/2021,2/25/2022,ere,grubbed,3,103,isce,44
7/15/2021,2/25/2022,ere,grubbed,3,103,spca,16
7/15/2021,2/25/2022,ere,grubbed,3,103,sade,26
7/15/2021,2/25/2022,ere,grubbed,3,103,graminoid_x,1
7/15/2021,2/25/2022,ere,grubbed,4,104,isce,57
7/15/2021,2/25/2022,ere,grubbed,4,104,spca,6
7/15/2021,2/25/2022,ere,grubbed,4,104,sade,21
7/15/2021,2/25/2022,ere,grubbed,5,105,isce,40
7/15/2021,2/25/2022,ere,grubbed,5,105,spca,12
7/15/2021,2/25/2022,ere,grubbed,5,105,sade,22
7/15/2021,2/25/2022,ere,grubbed,6,106,isce,30
7/15/2021,2/25/2022,ere,grubbed,6,106,spca,6
7/15/2021,2/25/2022,ere,grubbed,6,106,sade,22
7/15/2021,2/25/2022,ere,grubbed,7,107,isce,34
7/15/2021,2/25/2022,ere,grubbed,7,107,spca,11
7/15/2021,2/25/2022,ere,grubbed,7,107,sade,20
7/15/2021,2/25/2022,ere,grubbed,8,108,isce,47
7/15/2021,2/25/2022,ere,grubbed,8,108,spca,13
7/15/2021,2/25/2022,ere,grubbed,8,108,sade,24
7/15/2021,2/25/2022,ere,reference,1,109,isce,3
7/15/2021,2/25/2022,ere,reference,1,109,juba,2
7/15/2021,2/25/2022,ere,reference,1,109,dece,1
7/15/2021,2/25/2022,ere,reference,3,110,isce,1
7/15/2021,2/25/2022,ere,reference,3,110,juba,2
7/15/2021,2/25/2022,ere,reference,4,111,isce,4
7/15/2021,2/25/2022,ere,reference,4,111,agsp,1
7/15/2021,2/25/2022,ere,reference,4,111,juba,1
7/15/2021,2/25/2022,ere,reference,5,112,juba,1
7/15/2021,2/25/2022,ere,reference,5,112,spca,1
7/15/2021,2/25/2022,ere,reference,6,113,isce,5
7/15/2021,2/25/2022,ere,reference,7,114,juba,3
7/15/2021,2/25/2022,ere,reference,7,114,juox,1
7/15/2021,2/25/2022,ere,reference,8,115,juba,4
7/15/2021,2/25/2022,ere,reference,8,115,graminoid_x,1
7/15/2021,2/25/2022,ere,reference,8,115,spca,1
7/15/2021,2/25/2022,lqre,excl10,1,116,agsp,7
7/15/2021,2/25/2022,lqre,excl10,2,117,agsp,4
7/15/2021,2/25/2022,lqre,excl10,2,117,juba,3
7/15/2021,2/25/2022,lqre,excl10,2,117,glma,1
7/15/2021,2/25/2022,lqre,excl10,2,117,schoenoplectus_unconfirmed,1
7/15/2021,2/25/2022,lqre,excl10,3,118,agsp,9
7/15/2021,2/25/2022,lqre,excl10,3,118,juba,4
7/15/2021,2/25/2022,lqre,excl10,4,119,agsp,5
7/15/2021,2/25/2022,lqre,excl10,4,119,juba,2
7/15/2021,2/25/2022,lqre,excl10,4,119,schoenoplectus_unconfirmed,1
7/15/2021,2/25/2022,lqre,excl10,4,119,glma,1
7/15/2021,2/25/2022,lqre,excl10,4,119,coco,1
7/15/2021,2/25/2022,lqre,excl10,5,120,agsp,1
7/15/2021,2/25/2022,lqre,excl10,5,120,juba,3
7/15/2021,2/25/2022,lqre,excl10,6,121,agsp,1
7/15/2021,2/25/2022,lqre,excl10,6,121,glma,1
7/15/2021,2/25/2022,lqre,excl10,6,121,juba,5
7/15/2021,2/25/2022,lqre,excl10,7,122,agsp,2
7/15/2021,2/25/2022,lqre,excl10,7,122,caly,1
7/15/2021,2/25/2022,lqre,excl10,7,122,juba,4
7/15/2021,2/25/2022,lqre,excl10,8,123,agsp,5
7/15/2021,2/25/2022,lqre,excl10,8,123,juba,4
7/15/2021,2/25/2022,lqre,excl10,8,123,spca,1
7/15/2021,2/25/2022,lqre,excl10,9,124,agsp,4
7/15/2021,2/25/2022,lqre,excl10,9,124,juba,4
7/15/2021,2/25/2022,lqre,excl10,9,124,caly,1
7/15/2021,2/25/2022,lqre,excl10,10,125,agsp,5
7/15/2021,2/25/2022,lqre,excl10,10,125,juba,4
7/15/2021,2/25/2022,lqre,excl10,10,125,coco,1
7/15/2021,2/25/2022,lqre,excl10,11,126,agsp,5
7/15/2021,2/25/2022,lqre,excl10,11,126,juba,3
7/15/2021,2/25/2022,lqre,excl10,11,126,caly,1
7/15/2021,2/25/2022,lqre,excl10,12,127,agsp,9
7/15/2021,2/25/2022,lqre,excl10,12,127,juba,4
7/15/2021,2/25/2022,lqre,excl10,12,127,spca,2
7/15/2021,2/25/2022,lqre,excl10,13,128,agsp,4
7/15/2021,2/25/2022,lqre,excl10,13,128,juba,10
7/15/2021,2/25/2022,lqre,excl10,14,129,agsp,7
7/15/2021,2/25/2022,lqre,excl10,14,129,juba,5
7/15/2021,2/25/2022,lqre,excl10,14,129,coco,1
7/15/2021,2/25/2022,lqre,excl10,14,129,spca,1
7/15/2021,2/25/2022,lqre,grubbed,1,130,isce,83
7/15/2021,2/25/2022,lqre,grubbed,1,130,spca,29
7/15/2021,2/25/2022,lqre,grubbed,1,130,coco,1
7/15/2021,2/25/2022,lqre,grubbed,1,130,sade,2
7/15/2021,2/25/2022,lqre,grubbed,2,131,isce,68
7/15/2021,2/25/2022,lqre,grubbed,2,131,spca,61
7/15/2021,2/25/2022,lqre,grubbed,2,131,coco,1
7/15/2021,2/25/2022,lqre,grubbed,2,131,glma,1
7/15/2021,2/25/2022,lqre,grubbed,3,132,isce,65
7/15/2021,2/25/2022,lqre,grubbed,3,132,spca,56
7/15/2021,2/25/2022,lqre,grubbed,3,132,agsp,2
7/15/2021,2/25/2022,lqre,grubbed,3,132,sade,1
7/15/2021,2/25/2022,lqre,grubbed,4,133,isce,80
7/15/2021,2/25/2022,lqre,grubbed,4,133,spca,48
7/15/2021,2/25/2022,lqre,grubbed,4,133,coco,1
7/15/2021,2/25/2022,lqre,grubbed,5,134,agsp,1
7/15/2021,2/25/2022,lqre,grubbed,5,134,isce,65
7/15/2021,2/25/2022,lqre,grubbed,5,134,spca,54
7/15/2021,2/25/2022,lqre,grubbed,6,135,isce,42
7/15/2021,2/25/2022,lqre,grubbed,6,135,spca,48
7/15/2021,2/25/2022,lqre,grubbed,6,135,juba,1
7/15/2021,2/25/2022,lqre,grubbed,7,136,isce,57
7/15/2021,2/25/2022,lqre,grubbed,7,136,spca,37
7/15/2021,2/25/2022,lqre,grubbed,7,136,juba,2
7/15/2021,2/25/2022,lqre,grubbed,7,136,coco,1
7/15/2021,2/25/2022,lqre,grubbed,8,137,isce,42
7/15/2021,2/25/2022,lqre,grubbed,8,137,spca,53
7/15/2021,2/25/2022,lqre,grubbed,8,137,sade,1
7/15/2021,2/25/2022,lqre,grubbed,8,137,juba,1
7/15/2021,2/25/2022,lqre,reference,1,138,agsp,10
7/15/2021,2/25/2022,lqre,reference,1,138,caly,1
7/15/2021,2/25/2022,lqre,reference,1,138,juba,2
7/15/2021,2/25/2022,lqre,reference,1,138,coco,1
7/15/2021,2/25/2022,lqre,reference,1,138,achmi,1
7/15/2021,2/25/2022,lqre,reference,2,139,agsp,3
7/15/2021,2/25/2022,lqre,reference,2,139,coco,1
7/15/2021,2/25/2022,lqre,reference,3,140,agsp,7
7/15/2021,2/25/2022,lqre,reference,3,140,caly,1
7/15/2021,2/25/2022,lqre,reference,3,140,coco,1
7/15/2021,2/25/2022,lqre,reference,3,140,spca,1
7/15/2021,2/25/2022,lqre,reference,4,141,agsp,6
7/15/2021,2/25/2022,lqre,reference,4,141,caly,2
7/15/2021,2/25/2022,lqre,reference,4,141,coco,1
7/15/2021,2/25/2022,lqre,reference,4,141,spca,1
7/15/2021,2/25/2022,lqre,reference,5,142,agsp,5
7/15/2021,2/25/2022,lqre,reference,5,142,juba,2
7/15/2021,2/25/2022,lqre,reference,5,142,spca,2
7/15/2021,2/25/2022,lqre,reference,6,143,agsp,6
7/15/2021,2/25/2022,lqre,reference,6,143,caly,1
7/15/2021,2/25/2022,lqre,reference,6,143,spca,2
7/15/2021,2/25/2022,lqre,reference,6,143,isce,4
7/15/2021,2/25/2022,lqre,reference,7,144,agsp,6
7/15/2021,2/25/2022,lqre,reference,7,144,coco,1
7/15/2021,2/25/2022,lqre,reference,7,144,spca,2
7/15/2021,2/25/2022,lqre,reference,7,144,juba,2
7/15/2021,2/25/2022,lqre,reference,8,145,agsp,3
7/15/2021,2/25/2022,lqre,reference,8,145,caly,1
7/15/2021,2/25/2022,lqre,reference,8,145,coco,2
7/15/2021,2/25/2022,lqre,reference,8,145,sysu,1
7/15/2021,2/25/2022,lqre,reference,8,145,spca,1
7/15/2021,2/25/2022,lqre,reference,8,145,juba,2
7/15/2021,2/25/2022,nre,excl1,1,146,isce,147
7/15/2021,2/25/2022,nre,excl1,1,146,spca,29
7/15/2021,2/25/2022,nre,excl1,1,146,glma,1
7/15/2021,2/25/2022,nre,excl1,2,147,isce,163
7/15/2021,2/25/2022,nre,excl1,2,147,spca,25
7/15/2021,2/25/2022,nre,excl1,3,148,isce,123
7/15/2021,2/25/2022,nre,excl1,3,148,spca,19
7/15/2021,2/25/2022,nre,excl1,4,149,isce,165
7/15/2021,2/25/2022,nre,excl1,4,149,spca,39
7/15/2021,2/25/2022,nre,excl1,4,149,sade,1
7/15/2021,2/25/2022,nre,excl1,4,149,juba,1
7/15/2021,2/25/2022,nre,excl1,5,150,isce,111
7/15/2021,2/25/2022,nre,excl1,5,150,spca,31
7/15/2021,2/25/2022,nre,excl1,6,151,isce,156
7/15/2021,2/25/2022,nre,excl1,6,151,spca,34
7/15/2021,2/25/2022,nre,excl1,7,152,isce,102
7/15/2021,2/25/2022,nre,excl1,7,152,spca,31
7/15/2021,2/25/2022,nre,excl1,7,152,juba,1
7/15/2021,2/25/2022,nre,excl1,8,153,isce,147
7/15/2021,2/25/2022,nre,excl1,8,153,spca,26
7/15/2021,2/25/2022,nre,excl1,9,154,isce,126
7/15/2021,2/25/2022,nre,excl1,9,154,spca,33
7/15/2021,2/25/2022,nre,excl1,10,155,isce,171
7/15/2021,2/25/2022,nre,excl1,10,155,spca,34
7/15/2021,2/25/2022,nre,excl1,10,155,agsp,1
7/15/2021,2/25/2022,nre,excl1,11,156,isce,156
7/15/2021,2/25/2022,nre,excl1,11,156,spca,24
7/15/2021,2/25/2022,nre,excl1,11,156,glma,1
7/15/2021,2/25/2022,nre,excl1,11,156,juba,1
7/15/2021,2/25/2022,nre,excl1,12,157,isce,106
7/15/2021,2/25/2022,nre,excl1,12,157,spca,32
7/15/2021,2/25/2022,nre,excl1,12,157,sade,1
7/15/2021,2/25/2022,nre,excl1,13,158,isce,94
7/15/2021,2/25/2022,nre,excl1,13,158,spca,29
7/15/2021,2/25/2022,nre,excl1,14,159,isce,162
7/15/2021,2/25/2022,nre,excl1,14,159,spca,25
7/15/2021,2/25/2022,nre,grubbed,1,160,isce,125
7/15/2021,2/25/2022,nre,grubbed,1,160,spca,9
7/15/2021,2/25/2022,nre,grubbed,2,161,isce,93
7/15/2021,2/25/2022,nre,grubbed,2,161,spca,8
7/15/2021,2/25/2022,nre,grubbed,2,161,dece,2
7/15/2021,2/25/2022,nre,grubbed,2,161,juba,1
7/15/2021,2/25/2022,nre,grubbed,3,162,isce,113
7/15/2021,2/25/2022,nre,grubbed,3,162,spca,5
7/15/2021,2/25/2022,nre,grubbed,3,162,glma,1
7/15/2021,2/25/2022,nre,grubbed,3,162,juba,1
7/15/2021,2/25/2022,nre,grubbed,4,163,isce,143
7/15/2021,2/25/2022,nre,grubbed,4,163,spca,5
7/15/2021,2/25/2022,nre,grubbed,5,164,isce,104
7/15/2021,2/25/2022,nre,grubbed,5,164,spca,5
7/15/2021,2/25/2022,nre,grubbed,6,165,isce,121
7/15/2021,2/25/2022,nre,grubbed,6,165,spca,5
7/15/2021,2/25/2022,nre,grubbed,6,165,coco,1
7/15/2021,2/25/2022,nre,grubbed,7,166,isce,120
7/15/2021,2/25/2022,nre,grubbed,7,166,spca,3
7/15/2021,2/25/2022,nre,grubbed,7,166,coco,1
7/15/2021,2/25/2022,nre,grubbed,7,166,juba,2
7/15/2021,2/25/2022,nre,grubbed,7,166,graminoid_x,1
7/15/2021,2/25/2022,nre,grubbed,8,167,isce,132
7/15/2021,2/25/2022,nre,grubbed,8,167,spca,5
7/15/2021,2/25/2022,nre,reference,1,168,isce,16
7/15/2021,2/25/2022,nre,reference,1,168,spca,2
7/15/2021,2/25/2022,nre,reference,1,168,juba,1
7/15/2021,2/25/2022,nre,reference,2,169,isce,5
7/15/2021,2/25/2022,nre,reference,2,169,juba,1
7/15/2021,2/25/2022,nre,reference,3,170,isce,26
7/15/2021,2/25/2022,nre,reference,3,170,juba,2
7/15/2021,2/25/2022,nre,reference,3,170,spca,1
7/15/2021,2/25/2022,nre,reference,4,171,isce,16
7/15/2021,2/25/2022,nre,reference,4,171,juba,2
7/15/2021,2/25/2022,nre,reference,4,171,spca,1
7/15/2021,2/25/2022,nre,reference,5,172,sysu,1
7/15/2021,2/25/2022,nre,reference,5,172,juba,3
7/15/2021,2/25/2022,nre,reference,5,172,isce,3
7/15/2021,2/25/2022,nre,reference,5,172,spca,1
7/15/2021,2/25/2022,nre,reference,6,173,isce,31
7/15/2021,2/25/2022,nre,reference,6,173,juox,1
7/15/2021,2/25/2022,nre,reference,7,174,isce,14
7/15/2021,2/25/2022,nre,reference,7,174,juba,3
7/15/2021,2/25/2022,nre,reference,8,175,isce,24
7/15/2021,2/25/2022,nre,reference,8,175,juba,2
7/15/2021,2/25/2022,nre,reference,8,175,spca,1
7/15/2021,2/25/2022,nre,reference,8,175,sysu,1
